Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Derrick Favors,2009-10,82,245,PF,Georgia Tech,1,1.0,36,35,989,,0.621,0.611,0.003,0.488,420.0,12.6,19.9,16.5,7.9,1.8,7.9,20.0,21.8,2.3,2.5,4.8,0.195,,,,,,0.41,726,25.1,57.1,.151,0.9,13.5,-0.3
Wesley Johnson,2009-10,79,206,SF,Syracuse,3,340.0,35,35,1224,,0.6,0.564,0.299,0.35200000000000004,538.0,7.6,18.3,13.5,11.1,2.7,5.7,14.4,22.1,3.7,2.9,6.6,0.215,,,,,,0.96,609,22.1,10.7,.038,-1.6,1.2,-2.9
Greg Monroe,2009-10,83,247,PF/C,Georgetown,2,8.0,34,34,1164,,0.5670000000000001,0.534,0.07,0.5429999999999999,574.0,8.6,25.2,17.5,22.4,2.2,4.9,18.8,26.7,3.2,2.3,5.5,0.189,,,,,,1.14,632,27.7,49.7,.136,1.4,15.2,+0.5
Patrick Patterson,2009-10,81,240,PF,Kentucky,3,10.0,38,38,1255,,0.624,0.607,0.184,0.348,498.0,10.6,13.4,12.1,5.5,1.2,4.1,8.6,18.0,4.6,2.4,7.0,0.223,,,,,,0.88,699,20.9,31.1,.102,0.0,7.3,+2.2
DeMarcus Cousins,2009-10,83,292,PF/C,Kentucky,1,3.0,38,37,893,,0.579,0.56,0.016,0.726,555.0,19.8,24.8,22.5,9.2,2.4,7.5,13.6,30.5,3.8,2.7,6.5,0.29,,,,,,0.49,590,31.5,44.9,.116,2.6,21.4,+2.1
Luke Babbitt,2009-10,81,218,SF/PF,Nevada,2,18.0,34,34,1260,,0.614,0.542,0.201,0.4320000000000001,697.0,6.6,19.4,13.4,11.0,1.6,1.9,11.8,26.8,5.4,1.3,6.7,0.213,,,,,,0.89,381,14.0,7.2,.065,-2.1,-0.1,-2.4
Al-Farouq Aminu,2009-10,80,216,SF,Wake Forest,2,9.0,31,30,970,,0.524,0.471,0.17600000000000002,0.532,488.0,14.6,20.5,17.6,9.1,2.6,4.5,17.4,27.5,2.0,2.2,4.3,0.17600000000000002,,,,,,0.41,706,25.0,27.6,.075,-0.5,6.5,+3.2
Paul George,2009-10,81,214,SF,Fresno State,2,193.0,29,29,962,,0.5720000000000001,0.506,0.46,0.364,469.0,6.7,18.8,12.8,22.4,4.0,2.9,18.1,27.9,2.3,1.8,4.2,0.173,,,,,,0.94,688,33.5,73.8,.154,4.1,35.4,+7.1
Ed Davis,2009-10,82,227,PF,UNC,2,10.0,23,23,641,,0.607,0.578,0.0,0.688,282.0,10.8,24.2,17.6,6.8,0.9,9.5,15.3,21.5,1.8,1.3,3.1,0.194,,,,,,0.48,687,19.7,42.6,.151,-0.2,6.1,-1.7
Xavier Henry,2009-10,78,210,SG,Kansas,1,6.0,36,36,990,,0.591,0.555,0.466,0.325,430.0,5.2,11.5,8.6,9.8,3.1,1.8,14.4,23.4,2.8,2.1,4.9,0.197,,,,,,0.77,185,15.7,0.8,.013,-4.4,-1.7,-0.9
Avery Bradley,2009-10,75,180,SG,Texas,1,4.0,34,32,1003,,0.496,0.489,0.304,0.179,374.0,3.5,6.6,5.1,12.4,2.4,1.6,11.5,20.4,1.6,1.6,3.2,0.127,,,,,,1.37,581,28.1,16.4,.048,-2.2,-0.8,-0.8
Hassan Whiteside,2009-10,84,227,C,Marshall,1,,34,23,889,,0.5479999999999999,0.528,0.016,0.586,411.0,11.9,23.8,18.3,2.2,1.2,18.8,13.6,25.8,2.0,2.5,4.5,0.2,,,,,,0.16,438,25.9,46.0,.194,2.6,13.3,+1.6
Cole Aldrich,2009-10,82,236,C,Kansas,3,27.0,36,36,963,,0.596,0.562,0.0,0.6,400.0,13.6,25.4,20.0,5.8,1.6,13.0,14.1,19.9,3.0,2.9,5.9,0.245,,,,,,0.55,339,10.0,9.6,.135,0.1,1.8,-4.0
Gordon Hayward,2009-10,80,211,SF,Butler,2,,37,37,1239,,0.601,0.527,0.429,0.579,549.0,7.6,23.4,15.8,12.1,2.0,2.8,15.2,24.7,4.0,3.0,6.9,0.224,,,,,,0.73,682,31.1,57.1,.129,2.2,22.1,+2.0
Ekpe Udoh,2009-10,82,237,PF,Baylor,3,264.0,36,36,1264,,0.535,0.499,0.067,0.415,542.0,12.9,17.7,15.6,14.4,1.4,11.0,15.7,22.1,3.4,2.6,6.1,0.192,,,,,,1.11,384,14.8,10.4,.088,-1.4,0.8,+3.6
Devin Ebanks,2009-10,80,208,SF,West Virginia,2,45.0,34,31,1161,,0.527,0.462,0.095,0.483,419.0,9.5,18.0,13.6,14.7,1.9,2.2,16.2,20.1,2.6,2.1,4.6,0.16,,,,,,1.11,63,11.3,0.5,.035,-4.8,-0.5,-7.1
James Anderson,2009-10,78,208,SG,Oklahoma State,3,21.0,33,33,1124,,0.596,0.532,0.439,0.522,698.0,6.7,12.9,9.9,16.5,2.4,2.0,11.2,31.5,5.2,1.7,6.9,0.247,,,,,,1.03,247,17.5,3.3,.037,-2.7,-0.8,-1.2
