Name,Height,Weight,Position,School,Class,RSCI
Henry Sims,6-11,251,C,Georgetown,Sr.,55
Cameron Moore,6-10,223,PF,UAB,Sr.,
Terrance Henry,6-10,195,SF/PF,Mississippi,Sr.,76
Miles Plumlee,7-0,252,PF/C,Duke,Sr.,82
Ramone Moore,6-5,188,SG,Temple,Sr.,
Justin Hamilton,7-0,260,C,LSU,Jr.,
Tyshawn Taylor,6-3,180,PG/SG,Kansas,Sr.,75
Scott Machado,6-2,205,PG,Iona,Sr.,
Kyle O'Quinn,6-10,241,PF,Norfolk St.,Sr.,
Tony Mitchell,6-6,220,SF,Alabama,Jr.,18
Orlando Johnson,6-5,224,SF,UC Santa Barbara,Sr.,
Bernard James,6-10,230,PF,Florida St.,Sr.,
Marcus Denmon,6-3,188,PG/SG,Missouri,Sr.,
Xavier Gibson,6-11,266,PF,Florida St.,Sr.,58
Herb Pope,6-8,261,PF,Seton Hall,Sr.,33
J'Covan Brown,6-2,202,PG/SG,Texas,Jr.,62
Jae Crowder,6-6,241,SF/PF,Marquette,Sr.,
Reggie Hamilton,6-1,180,PG,Oakland,Sr.,
Robbie Hummel,6-8,218,SF,Purdue,Sr.,62
Dee Bost,6-2,180,PG,Mississippi St.,Sr.,163
Tu Holloway,6-0,187,PG,Xavier,Sr.,160
Mitchell Watt,6-9,221,PF,Buffalo,Sr.,
Chace Stanback,6-8,208,SG/SF,UNLV,Sr.,60
Yancy Gates,6-9,289,PF/C,Cincinnati,Sr.,32
Rakim Sanders,6-5,228,SF,Fairfield,Sr.,67
Greg Mangano,6-10,231,PF/C,Yale,Sr.,
Eli Holman,6-9,258,PF,Detroit,Sr.,91
Ricardo Ratliffe,6-8,244,PF,Missouri,Sr.,144
Bradford Burgess,6-6,212,SG/SF,VCU,Sr.,
Carlon Brown,6-4,216,SG,Colorado,Sr.,
Garrett Stutz,7-0,252,C,Wichita State,Sr.,
Dion Dixon,6-3,190,SG,Cincinnati,Sr.,
Casper Ware,5-10,170,PG,Long Beach State,Sr.,
Charlie Westbrook,6-4,196,SG,USA,Sr.,
Kenny Frease,6-11,265,C,Xavier,Sr.,51
Zack Rosen,6-1,170,PG,Pennsylvania,Sr.,
Kent Bazemore,6-5,201,SG,Old Dominion,Sr.,
Larry Anderson,6-5,211,SG/SF,Long Beach State,Sr.,
Dario Hunt,6-8,230,PF,Nevada,Sr.,
Kyle Fogg,6-3,183,SG,Arizona,Sr.,149
Nick Barbour,6-3,175,SG,,Sr.,
Ben McLemore,6-5,190,SG,Kansas,Fr.,39
Cody Zeller,7-0,230,PF/C,Indiana,So.,12
CJ McCollum,6-3,197,PG/SG,Lehigh,Sr.,
Alex Len,7-1,255,C,Maryland,So.,
Victor Oladipo,6-4,213,SG/SF,Indiana,Jr.,146
Nerlens Noel,6-11,206,PF/C,Kentucky,Fr.,1
Otto Porter,6-9,200,SF,Georgetown,So.,34
Anthony Bennett,6-7,240,SF/PF,UNLV,Fr.,6
Trey Burke,6-1,190,PG,Michigan,So.,83
Kentavious Caldwell-Pope,6-6,205,SG,Georgia,So.,15
Steven Adams,7-0,255,C,Pittsburgh,Fr.,5
Michael Carter-Williams,6-6,185,PG,Syracuse,So.,27
Tim Hardaway,6-6,200,SG,Michigan,Jr.,161
Shabazz Muhammad,6-6,225,SF,UCLA,Fr.,2
Kelly Olynyk,7-0,234,C,Gonzaga,Jr.,
Tony Mitchell,6-9,236,SF/PF,North Texas,So.,18
Tony Snell,6-7,198,SG/SF,New Mexico,Jr.,403
Nate Wolters,6-5,196,PG,South Dakota St.,Sr.,
Shane Larkin,5-11,171,PG,Miami,So.,102
Gorgui Dieng,6-11,230,C,Louisville,Jr.,49
Mason Plumlee,6-11,238,PF,Duke,Sr.,18
Allen Crabbe,6-6,197,SG,California,Jr.,72
Erick Green,6-3,180,PG/SG,Virginia Tech,Sr.,
Isaiah Canaan,6-0,190,PG,Murray St.,Sr.,
Reggie Bullock,6-7,200,SG/SF,North Carolina,Jr.,14
Jamaal Franklin,6-5,191,SG/SF,San Diego St.,Jr.,
Glen Rice,6-6,211,SG,USA,Jr.,89
Ricardo Ledo,6-6,197,SG,Providence,Fr.,
Lorenzo Brown,6-5,189,PG/SG,NC State,Jr.,45
Jeff Withey,7-0,222,C,Kansas,Sr.,29
CJ Leslie,6-9,209,SF/PF,NC State,Jr.,
James Ennis,6-7,200,SG/SF,Long Beach State,Sr.,
Robert Covington,6-7,209,SF,Tennessee State,Sr.,
James Southerland,6-8,221,SF/PF,Syracuse,Sr.,
