Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS
Daniel Hackett,2008-09,6-6,210,PG/SG,USC,Jr.,121.0,35.0,35.0,1307,,0.578,0.527,0.369,0.5489999999999999,,,,,,,,23.8,,2.7,1.9,4.7,0.14300000000000002,,,,,,1.43,0,0,0,0,0,0,0
Luke Nevill,2008-09,7-1,265,C,Utah,Sr.,,34.0,34.0,1084,,0.659,0.607,0.0,0.65,,,,17.5,9.8,,6.8,15.9,25.8,4.9,2.1,7.0,0.259,,,,,,0.54,0,0,0,0,0,0,0
AJ Abrams,2008-09,5-11,155,PG/SG,Texas,Sr.,,35.0,35.0,1319,,0.5429999999999999,0.507,0.5479999999999999,0.217,,,,3.3,6.9,,0.2,8.2,21.6,2.4,1.7,4.1,0.125,,,,,,0.96,0,0,0,0,0,0,0
Josh Shipp,2008-09,6-5,220,SG,UCLA,Sr.,57.0,33.0,33.0,962,,0.62,0.586,0.377,0.315,,,,6.7,10.4,,1.1,13.4,24.1,3.4,1.5,4.9,0.204,,,,,,0.85,0,0,0,0,0,0,0
Dominic James,2008-09,5-11,180,PG,Marquette,Sr.,36.0,29.0,28.0,910,,0.481,0.481,0.403,0.309,,,,6.4,30.6,,0.8,14.1,20.7,0.4,1.9,2.3,0.1,,,,,,2.67,0,0,0,0,0,0,0
Jeremy Pargo,2008-09,6-2,219,PG,Gonzaga,Sr.,84.0,34.0,34.0,1019,,0.542,0.519,0.222,0.243,,,,6.4,28.7,,0.4,20.1,20.0,1.5,2.2,3.7,0.145,,,,,,2.06,0,0,0,0,0,0,0
Russell Hicks,2008-09,7-0,255,C,Florida International,Sr.,,19.0,13.0,367,,0.494,0.455,0.008,0.459,,,,,,,,16.1,,0.3,0.8,1.1,0.116,,,,,,0.19,86,13.1,-0.8,-0.033,-5.0,-0.9,-9.7
Josh Carter,2008-09,6-7,195,SG,Texas A&M,Sr.,,34.0,34.0,1041,,0.602,0.55,0.585,0.376,,,,,,,,8.9,,3.1,1.3,4.4,0.171,,,,,,1.55,0,0,0,0,0,0,0
Cedric Jackson,2008-09,6-3,180,PG,Cleveland State,Sr.,,37.0,37.0,1231,,0.479,0.439,0.313,0.458,,,,10.2,33.2,,0.5,23.9,23.3,0.6,4.4,4.9,0.16,,,,,,1.51,0,0,0,0,0,0,0
Antonio Anderson,2008-09,6-6,214,SG,Memphis,Sr.,62.0,37.0,37.0,1269,,0.534,0.481,0.244,0.464,,,,7.8,23.5,,1.1,19.3,16.9,1.6,3.9,5.5,0.174,,,,,,1.95,12,6.2,-0.2,-0.111,-6.8,-0.1,-5.2
