Name,Season,Height,Weight,Position,School,Class,RSCI
Tyler Zeller,2011-12,84,247,PF/C,UNC,4,16
Kendall Marshall,2011-12,76,197,PG,UNC,2,27
Maurice Harkless,2011-12,80,207,SF,St. John's (NY),1,37
Andrew Nicholson,2011-12,82,234,PF,St. Bonaventure,4,400
Arnett Moultrie,2011-12,83,233,PF,Mississippi State,3,400
Dion Waiters,2011-12,76,215,SG,Syracuse,2,21
Perry Jones,2011-12,83,234,SF/PF,Baylor,2,7
Jared Sullinger,2011-12,81,268,PF,Ohio State,2,4
John Henson,2011-12,82,216,PF,UNC,3,5
Terrence Jones,2011-12,81,252,SF/PF,Kentucky,2,9
Marquis Teague,2011-12,74,189,PG,Kentucky,1,6
Royce White,2011-12,80,261,SF,Iowa State,2,26
John Jenkins,2011-12,76,212,SG,Vanderbilt,3,24
Doron Lamb,2011-12,76,199,SG,Kentucky,2,24
Quincy Miller,2011-12,82,219,SF,Baylor,1,5
Will Barton,2011-12,78,174,SG/SF,Memphis,2,13
Khris Middleton,2011-12,80,216,SG/SF,Texas A&M,3,102
Tony Wroten,2011-12,78,203,PG/SG,Washington,1,19
Jeffery Taylor,2011-12,79,213,SF,Vanderbilt,4,48
Fab Melo,2011-12,84,255,C,Syracuse,2,14
Jared Cunningham,2011-12,77,188,SG,Oregon State,3,136
Festus Ezeli,2011-12,83,264,C,Vanderbilt,4,116
Draymond Green,2011-12,79,236,SF/PF,Michigan State,4,69
Darius Miller,2011-12,79,238,SF,Kentucky,4,82
Kris Joseph,2011-12,79,215,SF,Syracuse,4,58
Kevin Murphy,2011-12,78,195,SG,Tennessee Tech,4,293
Kim English,2011-12,78,192,SG,Missouri,4,127
Drew Gordon,2011-12,81,239,PF,New Mexico,4,29
Mike Scott,2011-12,80,237,PF,Virginia,4,367
Darius Johnson-Odom,2011-12,75,212,SG,Marquette,4,329
JaMychal Green,2011-12,81,217,PF,Alabama,4,14
William Buford,2011-12,77,215,SG,Ohio State,4,13
Hollis Thompson,2011-12,80,205,SG,Georgetown,3,54
Kevin Jones,2011-12,79,251,PF,West Virginia,4,38
Quincy Acy,2011-12,80,224,PF,Baylor,4,197
Robert Sacre,2011-12,83,260,C,Gonzaga,4,176
Chris Johnson,2011-12,77,197,SG,Dayton,4,145
Alex Young,2011-12,78,216,SG/SF,IUPUI,4,400
Maalik Wayns,2011-12,73,205,PG,Villanova,3,23
Henry Sims,2011-12,83,251,C,Georgetown,4,30
Cameron Moore,2011-12,82,223,PF,UAB,4,400
Terrance Henry,2011-12,82,195,SF/PF,Ole Miss,4,59
Miles Plumlee,2011-12,84,252,PF/C,Duke,4,52
Ramone Moore,2011-12,77,188,SG,Temple,4,400
Justin Hamilton,2011-12,84,260,C,LSU,3,194
Tyshawn Taylor,2011-12,75,180,PG/SG,Kansas,4,65
Scott Machado,2011-12,74,205,PG,Iona,4,400
Kyle OQuinn,2011-12,82,241,PF,Norfolk State,4,400
Tony Mitchell,2011-12,78,220,SF,Alabama,3,41
Orlando Johnson,2011-12,77,224,SF,UC Santa Barbara,4,400
Bernard James,2011-12,82,230,PF,Florida State,4,400
Marcus Denmon,2011-12,75,188,PG/SG,Missouri,4,119
Xavier Gibson,2011-12,83,266,PF,Florida State,4,44
Herb Pope,2011-12,80,261,PF,Seton Hall,4,80
JCovan Brown,2011-12,74,202,PG/SG,Texas,3,67
Jae Crowder,2011-12,78,241,SF/PF,Marquette,4,400
Reggie Hamilton,2011-12,73,180,PG,Oakland,4,400
Robbie Hummel,2011-12,80,218,SF,Purdue,4,59
Dee Bost,2011-12,74,180,PG,Mississippi State,4,84
Tu Holloway,2011-12,72,187,PG,Xavier,4,181
Mitchell Watt,2011-12,81,221,PF,Buffalo,4,400
Chace Stanback,2011-12,80,208,SG/SF,UNLV,4,56
Yancy Gates,2011-12,81,289,PF/C,Cincinnati,4,22
Rakim Sanders,2011-12,77,228,SF,Fairfield,4,88
Greg Mangano,2011-12,82,231,PF/C,Yale,4,400
Eli Holman,2011-12,81,258,PF,Detroit,4,78
Ricardo Ratliffe,2011-12,80,244,PF,Missouri,4,154
Bradford Burgess,2011-12,78,212,SG/SF,VCU,4,348
Carlon Brown,2011-12,76,216,SG,Colorado,4,374
Garrett Stutz,2011-12,84,252,C,Wichita State,4,263
Dion Dixon,2011-12,75,190,SG,Cincinnati,4,285
Casper Ware,2011-12,70,170,PG,Long Beach State,4,400
Kenny Frease,2011-12,83,265,C,Xavier,4,40
Zack Rosen,2011-12,73,170,PG,Pennsylvania,4,396
Kent Bazemore,2011-12,77,201,SG,Old Dominion,4,381
Larry Anderson,2011-12,77,211,SG/SF,Long Beach State,4,384
Dario Hunt,2011-12,80,230,PF,Nevada,4,366
Kyle Fogg,2011-12,75,183,SG,Arizona,4,180
Nick Barbour,2011-12,75,175,SG,High Point,4,400
Ben McLemore,2012-13,77,190,SG,Kansas,1,39
Cody Zeller,2012-13,84,230,PF/C,Indiana,2,10
CJ McCollum,2012-13,75,197,PG/SG,Lehigh,4,400
Alex Len,2012-13,85,255,C,Maryland,2,250
Victor Oladipo,2012-13,76,213,SG/SF,Indiana,3,136
Nerlens Noel,2012-13,83,206,PF/C,Kentucky,1,1
Otto Porter,2012-13,81,200,SF,Georgetown,2,31
Anthony Bennett,2012-13,79,240,SF/PF,UNLV,1,6
Trey Burke,2012-13,73,190,PG,Michigan,2,93
Kentavious Caldwell-Pope,2012-13,78,205,SG,Georgia,2,12
Steven Adams,2012-13,84,255,C,Pitt,1,5
Michael Carter-Williams,2012-13,78,185,PG,Syracuse,2,26
Tim Hardaway,2012-13,78,200,SG,Michigan,3,161
Shabazz Muhammad,2012-13,78,225,SF,UCLA,1,2
Kelly Olynyk,2012-13,84,234,C,Gonzaga,3,200
Tony Mitchell,2012-13,81,236,SF/PF,North Texas,2,16
Tony Snell,2012-13,79,198,SG/SF,New Mexico,3,
Nate Wolters,2012-13,77,196,PG,South Dakota State,4,400
Shane Larkin,2012-13,71,171,PG,Miami,2,117
Gorgui Dieng,2012-13,83,230,C,Louisville,3,43
Mason Plumlee,2012-13,83,238,PF,Duke,4,27
Allen Crabbe,2012-13,78,197,SG,California,3,66
Erick Green,2012-13,75,180,PG/SG,Virginia Tech,4,269
Isaiah Canaan,2012-13,72,190,PG,Murray State,4,400
Reggie Bullock,2012-13,79,200,SG/SF,UNC,3,15
Jamaal Franklin,2012-13,77,191,SG/SF,San Diego State,3,400
Lorenzo Brown,2012-13,77,189,PG/SG,NC State,3,29
Jeff Withey,2012-13,84,222,C,Kansas,4,28
CJ Leslie,2012-13,81,209,SF/PF,NC State,3,10
James Ennis,2012-13,79,200,SG/SF,Long Beach State,4,400
Robert Covington,2012-13,79,209,SF,Tennessee State,4,400
James Southerland,2012-13,80,221,SF/PF,Syracuse,4,400
Pierre Jackson,2012-13,70,176,PG,Baylor,4,400
Myck Kabongo,2012-13,74,180,PG,Texas,2,15
Erik Murphy,2012-13,82,240,PF,Florida,4,55
Kenny Kadji,2012-13,82,242,PF/C,Miami,4,27
Trevor Mbakwe,2012-13,80,236,PF/C,Minnesota,4,400
Rodney Williams,2012-13,79,200,SF,Minnesota,4,59
Deshaun Thomas,2012-13,78,220,SF/PF,Ohio State,3,19
