Name,Season,Height,Weight,Position,School,Class,RSCI,G,GS,MP,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,ORTG,DRTG,AST/TOV,NBA GP,NBA MPG,NBA WS,NBA WSP48,NBA BPM,NBA VORP,NBA PLUSMINUS,Tensorflow,LogReg,GBM,MODEL TOTAL
RJ Nembhard,2020-21,77,200,PG/SG,TCU,3,132.0,24,24,837,15.4,0.508,0.45799999999999996,0.341,0.33799999999999997,377.0,1.7,12.6,7.2,25.8,1.8,0.6,18.8,28.3,0.8,0.6,1.5,0.071,1.6,-0.6,1.0,96.8,107.3,1.12,?,?,?,?,?,?,?,0.07634017,0,0,6.0763508334184735
Trendon Watford,2020-21,81,240,SF,LSU,2,18.0,28,28,968,20.1,0.536,0.506,0.161,0.429,462.0,5.4,16.7,11.3,15.6,1.8,2.0,14.8,24.6,2.2,1.1,3.3,0.136,4.2,0.9,5.1,108.3,103.7,1.11,?,?,?,?,?,?,?,0.9640319,0,0,6.0751556205564174
AJ Green,2020-21,76,190,SG,Northern Iowa,3,81.0,3,3,109,22.5,0.569,0.563,0.48200000000000004,0.107,58.0,3.1,15.4,9.1,18.3,2.1,2.2,15.7,32.9,0.2,0.1,0.3,0.11599999999999999,5.5,-0.3,5.2,100.4,102.6,0.73,?,?,?,?,?,?,?,0.067875475,0,0,6.0620752871058174
Derek Culver,2020-21,82,255,C,West Virginia,3,84.0,29,28,763,23.5,0.517,0.478,0.0,0.596,398.0,11.5,29.0,19.9,9.1,1.8,3.5,14.0,29.1,1.7,1.4,3.1,0.163,3.1,1.3,4.4,105.3,96.1,0.49,?,?,?,?,?,?,?,0.09067562,0,0,6.036420553923057
Aaron Henry,2020-21,78,210,SG/SF,Michigan State,3,140.0,28,26,910,20.0,0.521,0.48200000000000004,0.223,0.289,421.0,4.8,14.6,9.7,25.2,2.4,4.1,16.2,27.2,1.5,1.2,2.7,0.11900000000000001,4.5,3.4,7.9,101.8,101.2,1.26,?,?,?,?,?,?,?,0.025236964,0,0,6.025236649090173
Courtney Ramey,2020-21,75,185,PG,Texas,3,43.0,26,26,870,13.8,0.52,0.47200000000000003,0.431,0.28600000000000003,337.0,2.3,8.0,5.3,22.4,1.7,0.4,17.8,21.4,1.5,1.1,2.6,0.11800000000000001,2.5,1.4,3.8,105.2,101.9,1.55,?,?,?,?,?,?,?,0.1976389,0,0,6.005992983762349
Hason Ward,2020-21,81,210,SF/PF,VCU,2,88.21034870641171,26,11,559,20.7,0.612,0.583,0.052000000000000005,0.391,172.0,9.4,18.9,14.4,9.5,1.7,12.5,20.4,16.0,1.0,1.5,2.5,0.177,1.0,5.5,6.5,111.7,88.3,0.74,?,?,?,?,?,?,?,0.0034608245,0,0,5.973670383094473
James Bouknight,2020-21,77,190,SG,UConn,2,66.0,15,14,475,23.2,0.546,0.498,0.342,0.37,253.0,5.3,15.1,10.1,12.8,2.2,0.9,14.0,31.6,1.3,0.8,2.1,0.179,6.1,2.5,8.6,108.7,98.4,0.64,?,?,?,?,?,?,?,0.26444632,0,0,5.942255824906181
Will Richardson,2020-21,77,180,PG,Oregon,3,46.0,15,15,529,14.9,0.5760000000000001,0.545,0.439,0.318,186.0,2.7,10.0,6.4,19.6,1.7,0.0,20.0,19.3,1.0,0.5,1.5,0.11599999999999999,2.1,0.7,2.8,109.2,105.1,1.53,?,?,?,?,?,?,?,0.0612185,0,0,5.650242212329816
David Duke,2020-21,77,205,PG,Providence,3,47.0,26,26,964,18.1,0.508,0.456,0.35200000000000004,0.336,449.0,3.0,16.4,9.7,27.3,1.9,0.8,16.0,27.3,1.7,1.2,2.9,0.12,3.5,1.7,5.2,102.3,102.1,1.51,?,?,?,?,?,?,?,0.043000072,0,0,5.5245771723472
Marcus Garrett,2020-21,77,195,PG/SG,Kansas,4,55.0,29,29,956,16.7,0.545,0.5,0.256,0.307,330.0,2.1,13.5,7.8,20.8,2.8,1.2,16.1,18.0,1.7,1.8,3.5,0.147,1.9,4.2,6.1,109.7,96.3,1.89,?,?,?,?,?,?,?,0.016282051999999998,0,0,5.3565618104465464
